id,Mitai_Sold,Date,Amount,Last_Updated,Amount_Category
366,Barfi,2024-12-01,2776,2024-12-01 18:44:00,2001-3000
520,Barfi,2024-12-01,2488,2024-12-01 12:09:00,2001-3000
675,Gulab Jamun,2024-12-02,3890,2024-12-02 06:57:00,3001-4000
121,Ras Malai,2024-12-02,3838,2024-12-02 03:19:00,3001-4000
814,Ladoo,2024-12-02,4084,2024-12-02 02:38:00,4001-5000
996,Ras Malai,2024-12-02,2871,2024-12-02 00:37:00,2001-3000
611,Gulab Jamun,2024-12-02,1043,2024-12-02 05:28:00,1001-2000
844,Ladoo,2024-12-03,3229,2024-12-03 07:31:00,3001-4000
101,Ras Malai,2024-12-03,3455,2024-12-03 17:51:00,3001-4000
102,Badam Pak,2024-12-03,185,2024-12-03 12:27:00,0-1000
132,Kaju Katri,2024-12-03,821,2024-12-03 19:50:00,0-1000
486,Kaju Katri,2024-12-03,4082,2024-12-03 08:29:00,4001-5000
407,Gulab Jamun,2024-12-04,2549,2024-12-04 22:41:00,2001-3000
696,Gulab Jamun,2024-12-04,3985,2024-12-04 01:18:00,3001-4000
323,Kaju Katri,2024-12-04,1283,2024-12-04 11:51:00,1001-2000
547,Kaju Katri,2024-12-04,4447,2024-12-04 22:34:00,4001-5000
416,Kaju Katri,2024-12-04,2326,2024-12-04 08:52:00,2001-3000
135,Badam Pak,2024-12-05,3824,2024-12-05 15:27:00,3001-4000
949,Ras Malai,2024-12-05,1928,2024-12-05 03:21:00,1001-2000
113,Kaju Katri,2024-12-05,2765,2024-12-05 16:07:00,2001-3000
984,Kaju Katri,2024-12-05,2955,2024-12-05 20:31:00,2001-3000
177,Kaju Katri,2024-12-05,1943,2024-12-05 11:48:00,1001-2000
364,Badam Pak,2024-12-06,2151,2024-12-06 04:08:00,2001-3000
836,Barfi,2024-12-06,1484,2024-12-06 21:43:00,1001-2000
841,Barfi,2024-12-06,1152,2024-12-06 00:41:00,1001-2000
558,Ladoo,2024-12-06,1007,2024-12-06 02:45:00,1001-2000
208,Ladoo,2024-12-07,1243,2024-12-07 10:56:00,1001-2000
512,Gulab Jamun,2024-12-07,4266,2024-12-07 13:06:00,4001-5000
844,Ras Malai,2024-12-07,1123,2024-12-07 07:55:00,1001-2000
195,Badam Pak,2024-12-08,3161,2024-12-08 14:32:00,3001-4000
130,Kaju Katri,2024-12-08,3423,2024-12-08 14:58:00,3001-4000
839,Ras Malai,2024-12-08,2409,2024-12-08 18:31:00,2001-3000
644,Barfi,2024-12-08,3178,2024-12-08 14:09:00,3001-4000
708,Badam Pak,2024-12-08,4410,2024-12-08 16:38:00,4001-5000
994,Badam Pak,2024-12-09,4188,2024-12-09 03:07:00,4001-5000
750,Ladoo,2024-12-09,578,2024-12-09 08:00:00,0-1000
761,Ladoo,2024-12-09,754,2024-12-09 20:10:00,0-1000
450,Badam Pak,2024-12-09,2718,2024-12-09 09:12:00,2001-3000
988,Barfi,2024-12-10,533,2024-12-10 02:11:00,0-1000
207,Ras Malai,2024-12-10,237,2024-12-10 10:26:00,0-1000
413,Badam Pak,2024-12-10,2179,2024-12-10 07:51:00,2001-3000
238,Kaju Katri,2024-12-10,4389,2024-12-10 00:22:00,4001-5000
739,Kaju Katri,2024-12-10,1927,2024-12-10 15:01:00,1001-2000
780,Gulab Jamun,2024-12-10,478,2024-12-10 12:30:00,0-1000
648,Badam Pak,2024-12-11,818,2024-12-11 03:59:00,0-1000
540,Badam Pak,2024-12-11,1621,2024-12-11 15:14:00,1001-2000
848,Kaju Katri,2024-12-11,3040,2024-12-11 02:45:00,3001-4000
930,Ras Malai,2024-12-11,752,2024-12-11 13:28:00,0-1000
890,Ladoo,2024-12-11,4197,2024-12-11 20:46:00,4001-5000
261,Barfi,2024-12-11,338,2024-12-11 01:06:00,0-1000
931,Badam Pak,2024-12-12,268,2024-12-12 06:47:00,0-1000
450,Badam Pak,2024-12-12,2305,2024-12-12 11:31:00,2001-3000
799,Badam Pak,2024-12-12,3063,2024-12-12 01:34:00,3001-4000
349,Ladoo,2024-12-12,3376,2024-12-12 00:12:00,3001-4000
578,Barfi,2024-12-12,2450,2024-12-12 22:15:00,2001-3000
630,Gulab Jamun,2024-12-12,3306,2024-12-12 12:46:00,3001-4000
470,Ladoo,2024-12-13,3590,2024-12-13 15:37:00,3001-4000
675,Gulab Jamun,2024-12-13,4254,2024-12-13 10:05:00,4001-5000
739,Barfi,2024-12-13,2606,2024-12-13 02:52:00,2001-3000
345,Kaju Katri,2024-12-13,1482,2024-12-13 03:12:00,1001-2000
559,Ras Malai,2024-12-13,1568,2024-12-13 13:07:00,1001-2000
